model,seed,task,trial,bpm,n_episodes,n_strikes,success_rate,abs_err_ms_mean,err_ms_mean,err_ms_std,peak_force_mean,miss_rate_force,force_threshold_N,ckpt,file
C,4,double_160bpm,0,160.0,3,72,0.7638888888888888,18.06004367657558,-7.164353754983075,25.632294648688003,16.249658286571503,0.06944444444444445,1.0,model_1499,eval_logs/2026-07-10_10-54-15_seed4/model_1499/double_160bpm_trial0/simulation_log.csv
C,4,gmd_03_high_bpm138,0,138.0,1,45,0.8222222222222222,14.767757681912961,-6.395500759745728,17.63845797615094,639.1374145216412,0.044444444444444446,1.0,model_1499,eval_logs/2026-07-10_10-54-15_seed4/model_1499/gmd_03_high_bpm138_trial0/simulation_log.csv
C,4,gmd_04_extreme_bpm170,0,170.0,1,44,0.9090909090909091,11.591155420650336,-2.5000382553446165,16.96474610550301,384.6945937655189,0.0,1.0,model_1499,eval_logs/2026-07-10_10-54-15_seed4/model_1499/gmd_04_extreme_bpm170_trial0/simulation_log.csv
C,5,double_160bpm,0,160.0,3,72,0.7083333333333334,10.818394747647426,-4.454647410999697,13.867122423119802,10.82472390267584,0.2361111111111111,1.0,model_1499,eval_logs/2026-07-10_15-48-14_seed5/model_1499/double_160bpm_trial0/simulation_log.csv
C,5,gmd_03_high_bpm138,0,138.0,1,45,0.7555555555555555,13.590021011156622,-10.256611383878067,13.952668053895033,326.50219945907594,0.13333333333333333,1.0,model_1499,eval_logs/2026-07-10_15-48-14_seed5/model_1499/gmd_03_high_bpm138_trial0/simulation_log.csv
C,5,gmd_04_extreme_bpm170,0,170.0,1,44,0.7272727272727273,12.639161613252343,-7.361289527681151,16.66881191500975,19.058080938729372,0.18181818181818182,1.0,model_1499,eval_logs/2026-07-10_15-48-14_seed5/model_1499/gmd_04_extreme_bpm170_trial0/simulation_log.csv
D,1,double_160bpm,0,160.0,3,72,0.7361111111111112,15.95268552265467,-12.460568594554136,15.050544257478501,14.921314971314537,0.125,1.0,model_1499,eval_logs/2026-07-10_20-49-12_seed1/model_1499/double_160bpm_trial0/simulation_log.csv
D,1,gmd_03_high_bpm138,0,138.0,1,45,0.7333333333333333,17.82081371698597,-2.179644046685566,29.509234322556264,325.08573674096,0.13333333333333333,1.0,model_1499,eval_logs/2026-07-10_20-49-12_seed1/model_1499/gmd_03_high_bpm138_trial0/simulation_log.csv
D,1,gmd_04_extreme_bpm170,0,170.0,1,44,0.8863636363636364,10.97585224523764,-6.829427509772939,12.081043545379972,97.48687461289492,0.06818181818181818,1.0,model_1499,eval_logs/2026-07-10_20-49-12_seed1/model_1499/gmd_04_extreme_bpm170_trial0/simulation_log.csv
D,2,double_160bpm,0,160.0,3,72,0.8611111111111112,13.2092201887672,-6.791180639124638,20.332933133685145,18.392730792363484,0.06944444444444445,1.0,model_1499,eval_logs/2026-07-11_01-27-19_seed2/model_1499/double_160bpm_trial0/simulation_log.csv
D,2,gmd_03_high_bpm138,0,138.0,1,45,0.8888888888888888,10.487998404153824,0.9756146407709673,13.144594601375047,14.58750091128879,0.08888888888888889,1.0,model_1499,eval_logs/2026-07-11_01-27-19_seed2/model_1499/gmd_03_high_bpm138_trial0/simulation_log.csv
D,2,gmd_04_extreme_bpm170,0,170.0,1,44,0.8636363636363636,12.262176899682814,-5.833458332788281,15.338671304636502,259.3784772049297,0.045454545454545456,1.0,model_1499,eval_logs/2026-07-11_01-27-19_seed2/model_1499/gmd_04_extreme_bpm170_trial0/simulation_log.csv
D,3,double_160bpm,0,160.0,3,72,0.7916666666666666,12.17766154196952,-5.88724113279773,20.892913551735685,83.5719034506215,0.1388888888888889,1.0,model_1499,eval_logs/2026-07-11_06-05-24_seed3/model_1499/double_160bpm_trial0/simulation_log.csv
D,3,gmd_03_high_bpm138,0,138.0,1,45,0.0,,,,0.0,1.0,1.0,model_1499,eval_logs/2026-07-11_06-05-24_seed3/model_1499/gmd_03_high_bpm138_trial0/simulation_log.csv
D,3,gmd_04_extreme_bpm170,0,170.0,1,44,0.0,,,,0.0,1.0,1.0,model_1499,eval_logs/2026-07-11_06-05-24_seed3/model_1499/gmd_04_extreme_bpm170_trial0/simulation_log.csv
D,4,double_160bpm,0,160.0,3,72,0.6527777777777778,22.692750050471396,-21.46195264963005,32.43723870122896,18.96348759863112,0.09722222222222222,1.0,model_1499,eval_logs/2026-07-11_10-30-50_seed4/model_1499/double_160bpm_trial0/simulation_log.csv
D,4,gmd_03_high_bpm138,0,138.0,1,45,0.8222222222222222,15.232884606649833,-6.6280475882596335,17.6517935058809,319.22208081351386,0.044444444444444446,1.0,model_1499,eval_logs/2026-07-11_10-30-50_seed4/model_1499/gmd_03_high_bpm138_trial0/simulation_log.csv
D,4,gmd_04_extreme_bpm170,0,170.0,1,44,0.7727272727272727,15.000334600123008,-6.951387335614418,18.162110776207218,73.03321183811535,0.06818181818181818,1.0,model_1499,eval_logs/2026-07-11_10-30-50_seed4/model_1499/gmd_04_extreme_bpm170_trial0/simulation_log.csv
D,5,double_160bpm,0,160.0,3,72,0.8194444444444444,13.359630480408661,-8.359560742974281,14.935400716667289,12.067885413765907,0.1111111111111111,1.0,model_1499,eval_logs/2026-07-11_15-08-27_seed5/model_1499/double_160bpm_trial0/simulation_log.csv
D,5,gmd_03_high_bpm138,0,138.0,1,45,0.0,55.00125885009943,-55.00125885009943,,0.2275694105360243,0.9777777777777777,1.0,model_1499,eval_logs/2026-07-11_15-08-27_seed5/model_1499/gmd_03_high_bpm138_trial0/simulation_log.csv
D,5,gmd_04_extreme_bpm170,0,170.0,1,44,0.0,,,,0.0,1.0,1.0,model_1499,eval_logs/2026-07-11_15-08-27_seed5/model_1499/gmd_04_extreme_bpm170_trial0/simulation_log.csv
E,1,double_160bpm,0,160.0,3,72,0.7916666666666666,14.47789526697416,-7.910619920759055,16.791142824758765,21.56828325655725,0.06944444444444445,1.0,model_1499,eval_logs/2026-07-11_19-36-51_seed1/model_1499/double_160bpm_trial0/simulation_log.csv
E,1,gmd_03_high_bpm138,0,138.0,1,45,0.9111111111111111,13.222495714823632,-1.2222581439548155,23.334928897386867,16.27316992017958,0.0,1.0,model_1499,eval_logs/2026-07-11_19-36-51_seed1/model_1499/gmd_03_high_bpm138_trial0/simulation_log.csv
E,1,gmd_04_extreme_bpm170,0,170.0,1,44,0.8181818181818182,15.610104653893448,-4.390353109778427,26.884507804479313,15.276656226678329,0.06818181818181818,1.0,model_1499,eval_logs/2026-07-11_19-36-51_seed1/model_1499/gmd_04_extreme_bpm170_trial0/simulation_log.csv
E,2,double_160bpm,0,160.0,3,72,0.6388888888888888,20.141218749570182,-13.662207294517872,24.275077109916474,31.5004493660397,0.013888888888888888,1.0,model_1499,eval_logs/2026-07-12_00-16-35_seed2/model_1499/double_160bpm_trial0/simulation_log.csv
E,2,gmd_03_high_bpm138,0,138.0,1,45,0.8222222222222222,16.860814981682356,-5.000078400900115,25.425508056151116,23.58053824106852,0.044444444444444446,1.0,model_1499,eval_logs/2026-07-12_00-16-35_seed2/model_1499/gmd_03_high_bpm138_trial0/simulation_log.csv
E,2,gmd_04_extreme_bpm170,0,170.0,1,44,0.75,14.605597445839281,-5.3948603178324985,17.374717756275327,19.210961612788115,0.13636363636363635,1.0,model_1499,eval_logs/2026-07-12_00-16-35_seed2/model_1499/gmd_04_extreme_bpm170_trial0/simulation_log.csv
E,3,double_160bpm,0,160.0,3,72,0.7222222222222222,25.299034901519256,-18.433209675461487,39.11229362905047,15.542845088574621,0.06944444444444445,1.0,model_1499,eval_logs/2026-07-12_04-55-58_seed3/model_1499/double_160bpm_trial0/simulation_log.csv
E,3,gmd_03_high_bpm138,0,138.0,1,45,0.8222222222222222,16.555892096625445,-5.666791068182886,20.742338108514122,17.561431545681423,0.0,1.0,model_1499,eval_logs/2026-07-12_04-55-58_seed3/model_1499/gmd_03_high_bpm138_trial0/simulation_log.csv
E,3,gmd_04_extreme_bpm170,0,170.0,1,44,0.8863636363636364,14.166968209402913,-5.119159108116524,16.72947736845325,17.60344368761236,0.045454545454545456,1.0,model_1499,eval_logs/2026-07-12_04-55-58_seed3/model_1499/gmd_04_extreme_bpm170_trial0/simulation_log.csv
E,4,double_160bpm,0,160.0,3,72,0.9166666666666666,11.521945828976788,-6.014573401299079,14.105398418228345,388.30014928181964,0.041666666666666664,1.0,model_1499,eval_logs/2026-07-12_09-36-40_seed4/model_1499/double_160bpm_trial0/simulation_log.csv
E,4,gmd_03_high_bpm138,0,138.0,1,45,0.8,15.000298965808978,-5.6977771049320864,18.72713893732544,119.31295430925158,0.044444444444444446,1.0,model_1499,eval_logs/2026-07-12_09-36-40_seed4/model_1499/gmd_03_high_bpm138_trial0/simulation_log.csv
E,4,gmd_04_extreme_bpm170,0,170.0,1,44,0.8636363636363636,11.951490146357731,-5.85378960865302,15.96526609217088,898.1411688652905,0.06818181818181818,1.0,model_1499,eval_logs/2026-07-12_09-36-40_seed4/model_1499/gmd_04_extreme_bpm170_trial0/simulation_log.csv
E,5,double_160bpm,0,160.0,3,72,0.6388888888888888,17.118969206082614,-14.74606586714922,17.405853544177205,51.30837786694368,0.18055555555555555,1.0,model_1499,eval_logs/2026-07-12_14-16-35_seed5/model_1499/double_160bpm_trial0/simulation_log.csv
E,5,gmd_03_high_bpm138,0,138.0,1,45,0.8,15.227580612356167,-9.091076525774723,15.599685790460173,27.194597752889,0.022222222222222223,1.0,model_1499,eval_logs/2026-07-12_14-16-35_seed5/model_1499/gmd_03_high_bpm138_trial0/simulation_log.csv
E,5,gmd_04_extreme_bpm170,0,170.0,1,44,0.8409090909090909,11.309762795766206,-3.9286528314863043,15.163487501995409,24.21185543862256,0.045454545454545456,1.0,model_1499,eval_logs/2026-07-12_14-16-35_seed5/model_1499/gmd_04_extreme_bpm170_trial0/simulation_log.csv
