tau,lh,seed,task,bpm,n_strikes,success_rate,abs_err_ms_mean,err_ms_mean,err_ms_std,peak_force_mean,miss_rate_force,force_threshold_N,file
1.0,1.0,1,gmd_04_extreme_bpm170,170.0,44,0.8863636363636364,10.875234007835434,-3.375092148780779,13.028232158264744,238.29277546839282,0.09090909090909091,1.0,eval_logs_tau_sweep/2026-07-15_16-49-09_tau1.0_lh1.0_seed1/model_1499/gmd_04_extreme_bpm170_trial0/simulation_log.csv
2.0,0.5,1,double_160bpm,160.0,72,0.1388888888888889,29.31872823021632,-26.136913082816477,16.10487823202552,2.17410466240512,0.6944444444444444,1.0,eval_logs_tau_sweep/2026-07-15_21-39-51_tau2.0_lh0.5_seed1/model_1499/double_160bpm_trial0/simulation_log.csv
2.0,0.5,1,gmd_03_high_bpm138,138.0,45,0.24444444444444444,12.916962305704459,-7.083495457967122,14.687735426087789,3.450898043314616,0.7333333333333333,1.0,eval_logs_tau_sweep/2026-07-15_21-39-51_tau2.0_lh0.5_seed1/model_1499/gmd_03_high_bpm138_trial0/simulation_log.csv
2.0,0.5,1,gmd_04_extreme_bpm170,170.0,44,0.13636363636363635,28.333875868055557,-22.77819315592448,20.327549117166967,1.4717045643112876,0.7954545454545454,1.0,eval_logs_tau_sweep/2026-07-15_21-39-51_tau2.0_lh0.5_seed1/model_1499/gmd_04_extreme_bpm170_trial0/simulation_log.csv
2.0,1.0,1,double_160bpm,160.0,72,0.7777777777777778,16.18087457285986,-8.541850580109468,23.668331662145476,168.44241896271706,0.0,1.0,eval_logs_tau_sweep/2026-07-16_02-29-07_tau2.0_lh1.0_seed1/model_1499/double_160bpm_trial0/simulation_log.csv
2.0,1.0,1,gmd_03_high_bpm138,138.0,45,0.7333333333333333,15.000305677714984,-8.684390469601258,16.303349521477365,328.71978658040365,0.15555555555555556,1.0,eval_logs_tau_sweep/2026-07-16_02-29-07_tau2.0_lh1.0_seed1/model_1499/gmd_03_high_bpm138_trial0/simulation_log.csv
2.0,1.0,1,gmd_04_extreme_bpm170,170.0,44,0.5,19.167065620422495,-13.50026925404865,20.006847389782656,329.59223026579076,0.3181818181818182,1.0,eval_logs_tau_sweep/2026-07-16_02-29-07_tau2.0_lh1.0_seed1/model_1499/gmd_04_extreme_bpm170_trial0/simulation_log.csv
2.0,2.0,1,double_160bpm,160.0,72,0.7916666666666666,15.486394365628545,-8.54185389147866,25.59811908350082,16.16768739124139,0.0,1.0,eval_logs_tau_sweep/2026-07-16_07-18-26_tau2.0_lh2.0_seed1/model_1499/double_160bpm_trial0/simulation_log.csv
2.0,2.0,1,gmd_03_high_bpm138,138.0,45,0.6666666666666666,12.353220406700608,-6.470732829150163,14.79844560247385,326.1514930566152,0.24444444444444444,1.0,eval_logs_tau_sweep/2026-07-16_07-18-26_tau2.0_lh2.0_seed1/model_1499/gmd_03_high_bpm138_trial0/simulation_log.csv
2.0,2.0,1,gmd_04_extreme_bpm170,170.0,44,0.5227272727272727,17.115776355449935,-2.115433032695961,30.370847469004765,7.285620285706087,0.4090909090909091,1.0,eval_logs_tau_sweep/2026-07-16_07-18-26_tau2.0_lh2.0_seed1/model_1499/gmd_04_extreme_bpm170_trial0/simulation_log.csv
0.5,0.1,2,double_160bpm,160.0,72,0.7916666666666666,18.819813927014575,-12.430831789970373,31.004891292084707,15.196720298793581,0.0,1.0,eval_logs_tau_sweep/2026-07-16_12-07-29_tau0.5_lh0.1_seed2/model_1499/double_160bpm_trial0/simulation_log.csv
0.5,0.1,2,gmd_03_high_bpm138,138.0,45,0.4222222222222222,22.50045041243263,3.7501504023871104,41.52742998533794,592.5121022489336,0.4666666666666667,1.0,eval_logs_tau_sweep/2026-07-16_12-07-29_tau0.5_lh0.1_seed2/model_1499/gmd_03_high_bpm138_trial0/simulation_log.csv
0.5,0.1,2,gmd_04_extreme_bpm170,170.0,44,0.45454545454545453,9.318395094438033,3.409168936989524,12.187935046216666,104.06805021654476,0.5,1.0,eval_logs_tau_sweep/2026-07-16_12-07-29_tau0.5_lh0.1_seed2/model_1499/gmd_04_extreme_bpm170_trial0/simulation_log.csv
0.5,0.25,2,double_160bpm,160.0,72,0.8611111111111112,9.637851645981057,-3.8406278776085894,15.580836574390164,16.796752989292145,0.041666666666666664,1.0,eval_logs_tau_sweep/2026-07-16_16-55-04_tau0.5_lh0.25_seed2/model_1499/double_160bpm_trial0/simulation_log.csv
0.5,0.25,2,gmd_03_high_bpm138,138.0,45,0.7111111111111111,10.26335515474015,-6.842224221480559,15.39689816346168,23.626760980818005,0.15555555555555556,1.0,eval_logs_tau_sweep/2026-07-16_16-55-04_tau0.5_lh0.25_seed2/model_1499/gmd_03_high_bpm138_trial0/simulation_log.csv
0.5,0.25,2,gmd_04_extreme_bpm170,170.0,44,0.7727272727272727,7.7144350324358255,-2.5714738028390065,11.270372256837362,12.320652598684484,0.20454545454545456,1.0,eval_logs_tau_sweep/2026-07-16_16-55-04_tau0.5_lh0.25_seed2/model_1499/gmd_04_extreme_bpm170_trial0/simulation_log.csv
