strike_idx,target_time,peak_time,timing_err_ms,peak_force,success,tau,lh,seed,task,bpm,source
0,1.509998798370361,1.5149987936019895,4.999995231628418,50.98930358886719,True,0.5,0.1,1,double_160bpm,160.0,sim_tau
1,1.6099987030029297,1.6099987030029297,0.0,17.451833724975586,True,0.5,0.1,1,double_160bpm,160.0,sim_tau
2,1.889998435974121,1.9049984216690063,14.999985694885254,93.16867065429688,True,0.5,0.1,1,double_160bpm,160.0,sim_tau
3,1.969998359680176,1.9799983501434328,9.999990463256836,10.93600368499756,True,0.5,0.1,1,double_160bpm,160.0,sim_tau
4,2.2500040531158447,2.235003709793091,-15.000343322753906,10.704660415649414,True,0.5,0.1,1,double_160bpm,160.0,sim_tau
5,2.350006341934204,2.36000657081604,10.000228881835938,15.420528411865234,True,0.5,0.1,1,double_160bpm,160.0,sim_tau
6,2.6300127506256104,2.6300127506256104,0.0,8.60519790649414,True,0.5,0.1,1,double_160bpm,160.0,sim_tau
7,2.7300150394439697,2.7300150394439697,0.0,17.059955596923828,True,0.5,0.1,1,double_160bpm,160.0,sim_tau
8,3.010021448135376,3.005021333694458,-5.000114440917969,12.578006744384766,True,0.5,0.1,1,double_160bpm,160.0,sim_tau
9,3.110023736953736,3.110023736953736,0.0,18.268741607666016,True,0.5,0.1,1,double_160bpm,160.0,sim_tau
10,3.3900301456451416,3.400030374526977,10.000228881835493,10.409823417663574,True,0.5,0.1,1,double_160bpm,160.0,sim_tau
11,3.470031976699829,3.475032091140747,5.000114440917969,20.360374450683597,True,0.5,0.1,1,double_160bpm,160.0,sim_tau
12,3.7700388431549072,3.765038728713989,-5.000114440918413,20.91836929321289,True,0.5,0.1,1,double_160bpm,160.0,sim_tau
13,3.8500406742095943,3.8450405597686768,-5.000114440917525,11.814973831176758,True,0.5,0.1,1,double_160bpm,160.0,sim_tau
14,4.130046844482422,4.13504695892334,5.000114440917969,20.87022018432617,True,0.5,0.1,1,double_160bpm,160.0,sim_tau
15,4.230049133300781,4.235049247741699,5.000114440917969,17.413223266601562,True,0.5,0.1,1,double_160bpm,160.0,sim_tau
16,4.510055541992188,4.510055541992188,0.0,9.834003448486328,True,0.5,0.1,1,double_160bpm,160.0,sim_tau
17,4.610057830810547,4.610057830810547,0.0,17.94919204711914,True,0.5,0.1,1,double_160bpm,160.0,sim_tau
18,4.890064239501953,4.900064468383789,10.000228881835938,19.74714469909668,True,0.5,0.1,1,double_160bpm,160.0,sim_tau
19,4.970066070556641,4.970066070556641,0.0,10.86220359802246,True,0.5,0.1,1,double_160bpm,160.0,sim_tau
20,5.250072479248047,5.245072364807129,-5.000114440917969,9.578563690185549,True,0.5,0.1,1,double_160bpm,160.0,sim_tau
21,5.350074768066406,5.355074882507324,5.000114440917969,15.988308906555176,True,0.5,0.1,1,double_160bpm,160.0,sim_tau
22,5.6300811767578125,5.6300811767578125,0.0,8.775854110717773,True,0.5,0.1,1,double_160bpm,160.0,sim_tau
23,5.730083465576172,5.730083465576172,0.0,17.430797576904297,True,0.5,0.1,1,double_160bpm,160.0,sim_tau
24,1.509998798370361,1.5149987936019895,4.999995231628418,50.7143783569336,True,0.5,0.1,1,double_160bpm,160.0,sim_tau
25,1.6099987030029297,1.6099987030029297,0.0,16.197275161743164,True,0.5,0.1,1,double_160bpm,160.0,sim_tau
26,1.889998435974121,1.864998459815979,-24.99997615814209,10.373217582702637,True,0.5,0.1,1,double_160bpm,160.0,sim_tau
27,1.969998359680176,1.949998378753662,-19.999980926513892,11.361780166625977,True,0.5,0.1,1,double_160bpm,160.0,sim_tau
28,2.2500040531158447,2.220003366470337,-30.000686645507812,26.66421890258789,False,0.5,0.1,1,double_160bpm,160.0,sim_tau
29,2.350006341934204,2.340006113052368,-10.000228881835938,11.068387985229492,True,0.5,0.1,1,double_160bpm,160.0,sim_tau
30,2.6300127506256104,2.6250126361846924,-5.000114440917969,10.298986434936523,True,0.5,0.1,1,double_160bpm,160.0,sim_tau
31,2.7300150394439697,2.735015153884888,5.000114440918413,16.10533905029297,True,0.5,0.1,1,double_160bpm,160.0,sim_tau
32,3.010021448135376,3.005021333694458,-5.000114440917969,9.991753578186035,True,0.5,0.1,1,double_160bpm,160.0,sim_tau
33,3.110023736953736,3.110023736953736,0.0,17.581863403320312,True,0.5,0.1,1,double_160bpm,160.0,sim_tau
34,3.3900301456451416,3.3800299167633057,-10.000228881835938,8.423883438110352,True,0.5,0.1,1,double_160bpm,160.0,sim_tau
35,3.470031976699829,3.465031862258911,-5.000114440917969,9.548959732055664,True,0.5,0.1,1,double_160bpm,160.0,sim_tau
36,3.7700388431549072,3.7600386142730713,-10.000228881835938,19.182714462280277,True,0.5,0.1,1,double_160bpm,160.0,sim_tau
37,3.8500406742095943,3.8550407886505127,5.000114440918413,12.06007194519043,True,0.5,0.1,1,double_160bpm,160.0,sim_tau
38,4.130046844482422,4.095046043395996,-35.00080108642578,21.31183242797852,False,0.5,0.1,1,double_160bpm,160.0,sim_tau
39,4.230049133300781,4.235049247741699,5.000114440917969,15.312054634094238,True,0.5,0.1,1,double_160bpm,160.0,sim_tau
40,4.510055541992188,4.5050554275512695,-5.000114440918857,10.21930694580078,True,0.5,0.1,1,double_160bpm,160.0,sim_tau
41,4.610057830810547,4.615057945251465,5.000114440917969,16.423070907592773,True,0.5,0.1,1,double_160bpm,160.0,sim_tau
42,4.890064239501953,4.915064811706543,25.000572204589844,11.134783744812012,True,0.5,0.1,1,double_160bpm,160.0,sim_tau
43,4.970066070556641,4.965065956115723,-5.000114440917969,10.504135131835938,True,0.5,0.1,1,double_160bpm,160.0,sim_tau
44,5.250072479248047,5.215071678161621,-35.00080108642578,16.119625091552734,False,0.5,0.1,1,double_160bpm,160.0,sim_tau
45,5.350074768066406,5.355074882507324,5.000114440917969,8.677546501159668,True,0.5,0.1,1,double_160bpm,160.0,sim_tau
46,5.6300811767578125,5.6300811767578125,0.0,11.321131706237791,True,0.5,0.1,1,double_160bpm,160.0,sim_tau
47,5.730083465576172,5.725083351135254,-5.000114440917969,8.865129470825195,True,0.5,0.1,1,double_160bpm,160.0,sim_tau
48,1.509998798370361,1.5149987936019895,4.999995231628418,50.70936584472656,True,0.5,0.1,1,double_160bpm,160.0,sim_tau
49,1.6099987030029297,1.589998722076416,-19.999980926513672,10.160980224609377,True,0.5,0.1,1,double_160bpm,160.0,sim_tau
50,1.889998435974121,1.8599984645843504,-29.999971389770728,12.081047058105469,True,0.5,0.1,1,double_160bpm,160.0,sim_tau
51,1.969998359680176,1.9299983978271484,-39.999961853027564,12.60584831237793,False,0.5,0.1,1,double_160bpm,160.0,sim_tau
52,2.2500040531158447,2.215003252029419,-35.00080108642578,38.9990463256836,False,0.5,0.1,1,double_160bpm,160.0,sim_tau
53,2.350006341934204,2.365006685256958,15.000343322753906,30.78107452392578,True,0.5,0.1,1,double_160bpm,160.0,sim_tau
54,2.6300127506256104,2.660013437271118,30.000686645507812,13.359844207763672,False,0.5,0.1,1,double_160bpm,160.0,sim_tau
55,2.7300150394439697,2.70501446723938,-25.000572204589844,13.41197395324707,True,0.5,0.1,1,double_160bpm,160.0,sim_tau
56,3.010021448135376,3.0750229358673096,65.0014877319336,11.157161712646484,False,0.5,0.1,1,double_160bpm,160.0,sim_tau
57,3.110023736953736,3.0800230503082275,-30.000686645508257,16.461395263671875,False,0.5,0.1,1,double_160bpm,160.0,sim_tau
58,3.3900301456451416,3.360029458999634,-30.000686645507812,16.552932739257812,False,0.5,0.1,1,double_160bpm,160.0,sim_tau
59,3.470031976699829,3.4450314044952397,-25.0005722045894,11.868534088134766,True,0.5,0.1,1,double_160bpm,160.0,sim_tau
60,3.7700388431549072,3.790039300918579,20.000457763671875,11.748170852661133,True,0.5,0.1,1,double_160bpm,160.0,sim_tau
61,3.8500406742095943,3.820039987564087,-30.00068664550737,10.665761947631836,False,0.5,0.1,1,double_160bpm,160.0,sim_tau
62,4.130046844482422,4.090045928955078,-40.00091552734375,15.56749153137207,False,0.5,0.1,1,double_160bpm,160.0,sim_tau
63,4.230049133300781,4.210048675537109,-20.000457763671875,31.077890396118164,True,0.5,0.1,1,double_160bpm,160.0,sim_tau
64,4.510055541992188,4.530055999755859,20.000457763670987,17.74740982055664,True,0.5,0.1,1,double_160bpm,160.0,sim_tau
65,4.610057830810547,4.565056800842285,-45.00102996826172,8487.5244140625,False,0.5,0.1,1,double_160bpm,160.0,sim_tau
66,4.890064239501953,4.860063552856445,-30.000686645507812,16.850906372070312,False,0.5,0.1,1,double_160bpm,160.0,sim_tau
67,4.970066070556641,4.9850664138793945,15.000343322753906,12.246084213256836,True,0.5,0.1,1,double_160bpm,160.0,sim_tau
68,5.250072479248047,5.215071678161621,-35.00080108642578,15.604745864868164,False,0.5,0.1,1,double_160bpm,160.0,sim_tau
